Sample,A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log)
P00424;P00425,21.3675,21.4143,21.1621,21.8711,22.172,21.7221
P05755,22.5981,22.6239,22.7757,22.2532,22.3935,22.4055
P32867,21.3604,21.6113,21.8394,22.0116,20.8926,20.9693
P38717,23.8417,23.8977,23.8895,23.6564,23.5498,23.498
P53281;REV__P40040,22.9521,22.7876,23.1645,23.542,23.4705,23.6802
P36136,23.6852,23.9549,23.4618,23.9458,24.3926,24.5513
P38810,20.447,20.9338,20.6718,20.6015,20.2413,20.2901
P32468,20.9597,20.6699,20.9198,22.0116,21.0051,21.3117
P29704,21.5599,21.6377,21.6018,22.0116,20.3452,21.5315
P07275,23.2073,23.3569,23.1239,22.0116,23.4033,23.364
P21304,20.6494,21.0137,21.1317,20.5883,20.4966,20.8114
P39976,23.3527,23.1565,22.6287,23.1733,23.839,23.8887
P52553,22.7082,22.5622,22.7166,23.2424,23.168,23.327
P32602,22.297,22.3951,22.2286,22.9234,22.8397,22.8851
P38061,27.1532,27.2357,27.1337,26.6315,26.9978,27.0337
P53731,24.2431,24.0486,23.827,23.3295,23.9765,23.9619
P15700,22.6893,22.5235,22.8066,22.0116,22.5599,22.6119
P24000;P04449,27.0635,27.1553,27.1802,26.8039,26.8516,26.9122
A6ZRZ6;P39013,22.0066,22.3214,22.2819,22.9263,22.7678,22.6033
P36018,21.773,21.7754,21.4873,22.0116,22.618,22.076
P53549,22.97,22.832,23.0983,23.2716,24.171,23.1264
P46969,21.9227,22.1268,21.8818,21.6373,21.8525,21.6491
P32563,23.5254,23.6024,23.3688,24.0829,23.8526,24.2007
Q02486,23.8121,23.8504,23.8021,23.6685,23.5134,23.5127
P39966,21.4455,21.5144,21.3383,22.0116,21.964,21.9482
P35723,22.9474,22.9314,23.0127,22.0116,23.0789,23.0471
P18562,25.0076,25.2076,25.0614,24.4673,25.0002,25.0615
P0CW40;P0CW41;Q08295,20.4181,20.3717,20.4554,19.9985,20.244,20.2758
P25356,21.3555,21.183,21.6439,21.9972,21.824,21.9481
Q12091;P47104,23.2329,23.3588,23.0897,22.72,22.8762,23.3656
P53914,20.8105,20.8528,20.7687,22.0116,20.9975,21.0068
P30656,23.0241,22.9925,22.2985,23.1995,23.3951,23.3033
P41811,24.1929,24.0977,24.0568,24.7753,24.6307,24.5041
P53111,22.9236,23.008,22.9312,22.0116,23.0482,23.1072
P39938;P39939,27.2811,26.765,26.5411,27.247,27.3811,27.5165
P38628,24.1765,24.1355,24.4533,24.0664,23.962,24.0475
P17536,26.0835,26.2638,26.344,26.1114,25.9636,25.9287
P28319,21.7801,22.0382,21.9825,21.7971,21.7393,21.5815
Q03862,22.9407,22.8945,22.9315,22.0116,22.9982,23.0952
Q00055,25.4506,25.4831,24.9788,25.1152,25.0165,25.1218
P40215,21.8193,21.6585,21.8198,21.5881,21.5883,21.4637
P46784;Q08745,26.9133,26.9103,27.0171,26.619,26.7613,26.8035
P53235,23.1247,23.5098,23.6538,22.6521,23.4947,23.4848
P53081,22.7289,22.9193,23.0132,22.7087,22.7423,22.5632
P01123,22.5183,22.7554,22.7221,21.9967,22.5916,22.7682
Q04341,23.0356,22.9288,22.9122,23.3903,23.5865,23.397
P32074,25.641,25.387,25.4585,25.2033,25.341,25.3143
P14907,21.6185,20.8037,21.5761,22.0116,21.655,21.8183
P33734,22.6458,22.5054,22.5866,22.0116,22.5754,22.5367
P38264,23.2716,23.45,23.338,23.8312,23.8142,23.8928
P09733,24.3878,24.359,24.3874,24.9564,24.7957,24.8568
P07274,25.7782,25.8128,25.7801,26.1729,26.3327,26.3336
A6ZRW3;P07213,23.3557,23.6842,23.5953,23.9534,24.246,23.9027
Q12680,21.2102,21.6301,21.6183,22.0116,21.964,21.9482
P32476,23.6281,23.0284,23.9675,23.278,23.3414,23.4067
Q12349,21.8509,21.987,21.9827,21.5775,21.9226,21.7253
P21734,21.9027,22.1348,21.6219,22.0543,22.6201,22.4431
P42943,22.9023,22.5823,22.8025,22.0116,22.7691,22.9223
P38143,22.331,22.4441,22.2678,22.0116,22.4155,22.0346
P22202,24.7261,24.6586,24.6745,23.9939,24.5913,24.8978
P27616,22.945,23.0275,23.2791,23.5807,23.6327,23.4768
P05749,24.932,24.7402,24.8197,25.3133,25.2566,25.3605
Q02785,22.8638,22.6323,22.7284,22.0116,22.897,22.7437
Q02805,22.4535,22.1498,22.4362,22.7483,22.9248,22.8016
P36135;A7A003;B3LRC2;B5VMJ0,24.8564,24.8009,24.8114,25.2815,25.3136,25.3006
Q6Q546,22.3464,21.7388,21.9976,22.0116,21.7948,21.7169
P22943,28.3529,28.4869,28.5099,28.1681,28.3694,28.2533
P53332,21.0947,20.8708,21.165,22.0116,21.3764,21.1647
P05318,27.5062,27.4643,27.5924,27.4507,27.0243,27.5419
P35189,21.28,21.1936,21.0054,21.5373,21.9187,21.4343
Q06523,24.2954,23.5653,23.957,23.762,24.614,24.8503
P25719,24.9925,25.2671,25.2465,25.025,25.0486,24.8927
P20459,24.7155,24.7697,24.6827,25.1081,25.3272,25.1375
P32496,22.4194,22.5376,22.854,22.9293,23.1584,23.1216
P38071,22.9155,22.942,22.817,22.7163,22.9361,22.5003
P40509,23.9289,23.5475,23.5253,23.6449,23.7874,23.0499
P34223,22.3202,22.4419,22.2838,22.0116,22.3511,22.1637
P53173,22.4784,22.924,22.7581,22.0116,22.9781,22.6534
P17555,24.7339,24.7665,24.6853,25.1458,25.2911,25.1307
P21243,24.2815,24.4785,24.0569,24.8849,24.6747,24.6391
Q99258,22.6065,22.5972,22.3738,23.0093,22.9608,22.9879
P31412,24.6531,24.6637,24.5157,25.1084,25.1266,24.9741
P32527,26.543,26.2901,26.3575,26.7723,26.8825,26.8994
P38624,23.4225,23.6126,23.7552,23.4671,23.439,23.3868
P47165,21.4808,21.2718,21.4361,22.0116,21.8482,21.6883
P40991,22.0498,22.2454,22.3011,22.0116,22.1594,21.9317
P36013,21.3688,21.4002,21.1305,21.8267,21.8982,21.531
Q01662,21.8014,21.6638,21.8917,22.2623,22.2542,22.1941
P33399,20.149,19.8943,19.9906,19.9184,19.7658,19.8645
P40414,23.3363,23.2362,23.0938,23.8551,23.7049,23.4559
A6ZPQ6;P40364,22.1166,22.0417,21.9037,22.4068,22.4872,22.5072
P32590,23.0765,23.1289,22.6288,23.3737,23.3287,23.4669
P14126,27.4583,27.4277,27.4658,27.1628,27.4092,27.3108
P00724;P10594;P10596,22.45,22.169,22.3257,22.0116,22.185,22.284
Q08220,22.1673,21.8142,22.5335,22.4821,22.8896,22.4682
P02293;P02294,26.0298,26.0531,25.9648,26.4385,26.4709,26.4576
P05319,27.0384,27.1138,27.0945,26.6451,27.0956,27.0588
A7A261;P43603,21.8488,21.8907,21.8201,22.3948,22.275,22.2003
P00729,25.0688,25.025,25.1118,24.906,24.9036,24.9554
Q04894,24.6694,24.4998,24.6579,24.9621,25.0836,25.0871
Q12513,24.2206,24.2963,24.0296,24.0378,24.0231,24.0469
P0CX51;P0CX52,27.6089,27.7553,27.8336,27.4937,27.5537,27.7141
P00445,29.5678,29.5826,29.5393,29.4204,29.4069,29.4281
P15731;P15732,25.6706,25.7185,25.6483,25.2391,25.4889,25.8801
P32626;A6ZQR2;B3LRX9;B5VH97;C7GKE1,22.4114,22.5754,22.5958,22.2081,22.534,22.4143
P15646,23.6372,23.5379,23.6232,23.7322,23.4425,23.2058
P07702,24.6108,24.4713,24.4476,24.7485,24.7996,25.2612
P38999,25.0299,25.2551,25.4502,24.9414,25.2066,25.175
Q03195,24.472,24.3331,24.3073,24.1301,24.3384,24.2331
Q12408,23.7704,23.7703,23.6637,23.9855,24.0144,24.4644
P00128,24.0719,24.1641,24.193,24.1586,23.9008,23.9769
P47117,25.6078,25.6403,25.6267,24.8491,25.8292,25.8054
P22217,26.5709,26.4395,26.5558,26.9151,26.9618,26.9455
P36421,26.1169,26.3086,26.2519,26.6155,26.74,26.5756
O74700,22.7014,22.7022,22.4421,22.0116,22.6534,22.7924
A6ZMK5;P40217,24.4892,24.6614,24.6222,24.8825,25.181,24.9498
P17649,25.6033,25.6609,25.6447,26.092,25.9923,26.0607
P39077,23.7261,23.5767,23.1415,23.3099,23.4615,23.3031
P38426,22.7057,22.621,22.7777,23.0207,23.2551,23.0618
P38616,24.7769,24.8417,24.6298,25.1034,25.1812,25.194
P33303,21.5959,21.9768,21.0342,22.0174,21.8461,21.9733
P41921,24.51,24.7241,24.6166,24.9913,25.0616,25.0274
P40989;P38631,23.694,23.6913,23.6085,23.3789,23.7794,23.4801
P32608,22.7363,22.2423,22.5676,22.9653,22.9206,22.879
P40086,20.7083,20.8673,20.8538,20.5362,20.79,20.751
P07560,23.8355,23.8615,23.9565,23.8129,23.7957,23.6929
P53599,23.9937,24.0701,24.0329,24.3719,24.4244,24.5174
P10080,25.8768,25.8232,25.6998,26.2311,26.1571,26.2248
P53297,22.5688,22.4561,22.3103,22.9507,22.723,22.8709
P39107,21.2877,21.0468,20.8914,22.0116,21.0718,21.3473
P37302,25.5296,25.6411,25.643,25.5089,25.5168,25.4487
P00815,25.4171,25.4019,25.453,25.7743,25.8458,25.8551
P38555;P51996,22.9511,23.239,23.2641,23.3719,23.7785,23.4995
Q02201;P38755,21.5085,21.3925,21.3059,22.1706,21.7465,21.4847
A6ZNQ1;P20449,22.2664,22.355,22.4407,22.0116,22.3326,22.3891
P39078,22.1337,22.2336,22.3799,22.1814,22.1205,22.1167
P16547,24.6124,24.6394,24.5823,24.4562,24.4493,24.6009
P39533,23.0621,22.99,22.8993,23.2992,23.3872,23.4566
Q06151,25.2109,25.0687,25.0476,25.4094,25.5683,25.5387
P00358,26.6938,27.1829,27.2028,26.884,27.7045,27.6773
Q02725,22.5884,22.5287,22.423,22.9881,22.9522,22.7787
P38912,23.051,23.081,23.3504,22.9879,23.1737,23.0087
P47018,21.602,22.0619,22.074,22.0116,21.964,21.453
Q04432,27.5806,27.6552,27.5879,27.9626,28.0397,27.9947
P04807,29.6292,29.6012,29.6122,29.9517,30.0255,30.0371
Q86ZR7,21.3745,21.4973,21.8804,22.0116,21.964,21.9482
O13516,20.6569,20.5018,20.4493,22.0116,20.3458,20.4207
P47160,21.8488,20.7247,21.8201,21.3877,21.4111,21.2948
Q01939,22.6242,22.2163,22.3468,22.6467,22.8063,22.8974
P53622,24.9297,24.9306,24.9983,24.6681,24.9692,24.9302
P39003;P39004,25.9158,25.7898,25.8842,26.2553,26.2555,26.2353
P01095,24.5802,24.3423,24.6149,24.2871,24.457,24.5029
A6ZRW6;P30952,27.8697,27.8527,27.9518,28.1838,28.2997,28.3446
P00330,30.3866,30.407,30.4583,30.1954,30.3683,30.4
Q04344,23.3681,22.4979,23.0768,22.0116,23.2179,23.4273
P11076,21.8488,21.8907,21.8201,21.6562,21.9259,21.6926
P40825,26.3884,26.2965,26.2698,26.566,26.7782,26.7589
P23639,24.5535,23.9918,23.6904,24.4682,24.4541,24.4613
P26785,26.8318,26.8298,26.8711,26.7763,26.6428,26.8321
P14065,22.3441,22.695,22.7893,22.929,22.7546,23.2818
P50094,21.7704,21.8753,21.8763,22.1138,21.964,22.5793
Q05911,23.6131,23.5793,23.5014,23.0665,23.5487,23.812
P29453,24.547,24.7864,24.5434,24.5192,24.5212,24.5701
Q06405,22.1144,22.2498,22.2222,22.0116,22.1375,22.1719
P39516;P06367,27.8022,27.8687,27.9857,27.6926,27.906,27.7998
O14455;P05745,27.0723,27.0844,26.9362,26.8956,26.9532,26.9863
P06105,24.8061,24.8962,24.7415,25.26,25.238,25.0689
P00924,29.3731,29.4517,29.4827,29.2094,29.4174,29.4251
Q04491,24.4422,24.8192,24.3806,24.8785,24.9113,24.9704
P02309,26.1052,26.0657,26.0989,25.9622,26.0978,25.9593
Q04951,23.8856,23.8004,23.993,24.2156,24.2064,24.3703
P33299,22.6855,22.4085,22.3511,22.0116,22.4217,22.7643
P32453,21.6089,21.7099,21.8122,22.0116,21.9368,22.2945
P32381,23.7845,24.1191,23.9607,23.8402,23.9544,23.8236
P33204,23.8875,23.8906,23.875,24.2928,24.1923,24.2786
Q03048,27.864,27.8252,27.785,28.1837,28.2092,28.1911
P07244,24.2056,24.1098,24.1597,24.4595,24.7337,24.387
P53163,22.3419,22.4109,22.4437,22.7046,22.7787,22.8162
P20107,21.8319,21.9471,21.9366,22.0116,22.2813,22.5237
P23644,22.9784,23.2264,23.0869,22.5044,23.2931,23.2585
P49090,26.3778,26.4014,26.2395,26.6649,26.6748,26.7799
P0CX41;P0CX42,26.6907,26.6061,26.3802,26.9311,26.9826,26.8628
P0CH08;P0CH09;P0CG63,20.8735,20.9911,21.1608,22.3604,20.255,21.5082
P09201,22.141,21.7162,22.2902,22.0116,21.964,21.9418
P43585,21.6861,21.8418,21.9365,22.0116,22.3875,22.1586
P36046,22.0156,21.9086,22.088,22.3728,22.3911,22.3401
P05373,22.0272,22.6476,21.6607,22.1494,22.9492,22.3178
P53152,24.5306,24.3456,24.2507,24.7717,24.6838,24.7519
P22803,27.7291,27.7765,27.6594,28.0505,28.0711,28.1199
P04147,27.7069,27.7053,27.6878,27.9364,28.1074,28.1321
P0CX84;P0CX85,27.1971,27.1651,27.3443,27.2247,27.1196,27.1517
P17695,23.7308,23.7327,23.6612,24.0926,24.0529,24.0546
P21242,22.8619,22.9635,22.8711,23.1649,23.2734,23.3298
P28007,22.7333,22.6892,22.5355,22.0116,22.8213,22.9216
P38075,25.7226,25.8486,25.6724,26.1028,26.2684,25.9402
P46683,22.042,21.8115,22.1827,22.0116,21.9233,21.8991
P20967,26.4837,26.438,26.3673,26.7617,26.8165,26.7759
P32379,24.0008,24.0772,23.985,23.8281,23.9965,24.041
P00427,24.1753,24.3094,24.4955,24.3048,24.3428,24.1374
P48606,22.5464,22.6177,22.3965,22.27,22.5102,22.5853
P29547,26.3791,26.6967,26.4582,26.4344,26.4091,26.4968
P23615,21.6247,21.4126,21.6449,22.0116,21.9797,21.7422
P00812,25.0972,25.0783,25.0415,25.4253,25.4282,25.4142
P39522,25.6289,25.6613,25.6674,25.405,25.5584,25.8113
P53301,26.1229,26.1862,26.1546,26.0219,26.0722,26.1879
P47039,21.7639,21.685,21.6379,22.0574,22.1254,21.9493
P04801,26.288,26.2017,26.248,26.6209,26.5826,26.5776
P43593,23.8936,23.9021,23.8353,24.2487,24.1781,24.2447
P15496,25.6943,25.6834,25.6627,25.988,26.0458,26.0459
P23301,27.4541,27.3912,27.444,27.0858,27.5051,27.5246
P07262,28.3605,28.3332,28.3232,28.6597,28.709,28.6858
P20051,24.6158,24.6852,24.7145,24.5339,24.6627,24.6472
P53312,25.1814,25.3098,25.2515,25.5762,25.5922,25.6073
P32771,22.6497,22.5006,22.1165,22.7009,22.9768,22.6209
P12612,22.791,22.7127,22.7393,22.0116,23.0125,23.059
P38891,26.8702,26.7459,26.8169,27.0556,27.2372,27.1644
P36015,23.34,23.0194,23.2075,22.888,23.3896,23.1326
Q12335,26.5273,26.5299,26.5401,26.7966,26.9685,26.8521
Q02753;Q12672,27.1283,27.2637,27.3204,27.0957,27.2139,27.2509
Q08193,24.7329,24.6856,24.6375,24.9882,25.0013,25.0835
P31787,26.9457,27.0829,27.0245,27.2487,27.4147,27.4066
Q03558,27.3807,27.3487,27.3687,27.2288,27.3131,27.4101
P05759,25.1637,25.1276,25.0021,24.9612,25.1868,25.0007
P50085,22.2134,22.474,22.2778,22.0116,22.4566,22.3564
Q01574,23.7692,23.6618,23.9013,24.0032,24.1932,24.1392
P11745,24.7126,24.9262,24.8424,25.1017,25.1957,25.1828
P02829,27.21,27.2911,27.2749,27.1124,27.1907,27.3422
P32191,25.9155,25.6459,25.5733,26.096,25.9756,26.0591
P38145,22.7426,22.4239,22.2078,22.8475,22.9483,22.5739
O13535;P0C2I2;P0C2I3;P0C2I5;P0C2I6;P0C2I7;P0C2I9;P0C2J1;P47098;P47100;Q03434;Q03612;Q03619;Q03855;Q04670;Q04711;Q07163;Q12088;Q12141;Q12269;Q12316;Q12414;Q07793;P0C2I4;O74302;P08405;P0C2I8;P0CX57;P0CX58;P0CX65;P0CX66;P0CX67;P0CX68;P0CX69;P0CX70;P0CX71;P0CX72;P0CX73;P0CX74;P0CX75;P0CX76;P47099;Q03856;Q04706;Q12085;Q12485;Q6Q5H1;P0C2J0;Q12193;Q92393;Q12273;Q99231;Q99337;P0CX59;P0CX60;Q12217;Q12470;Q92392;Q12441,27.2689,27.2835,27.2849,27.2074,27.2516,27.2483
P04806,28.3797,28.2549,28.3813,28.6155,28.6823,28.7104
P25451,23.5429,23.8064,23.5335,23.9084,23.9691,23.9954
P0CX55;P0CX56,28.4139,28.4294,28.5201,28.3914,28.4297,28.4178
P28495,22.7344,22.7093,22.466,22.9646,23.1071,22.8263
P39743,23.6986,23.85,23.899,23.6914,23.8212,23.8128
P39730,25.8849,25.8883,25.8524,25.7447,25.8533,25.9055
P19358,26.0106,25.7447,25.8536,25.5229,25.9627,26.0023
Q01560,26.1991,26.2814,26.2006,26.5187,26.5851,26.5634
P46367,28.0352,27.9987,28.0533,27.8451,28.121,28.0015
Q12044,21.9961,21.9088,22.2263,22.0116,22.7034,22.4008
A6ZR21;B3LRI4;C7GRP9;C8Z773;P40043,26.4119,26.477,26.5793,26.3662,26.5286,26.4567
P03965,26.0303,26.0067,26.0739,26.3186,26.4105,26.3625
A5Z2X5,23.7669,23.4743,23.5584,23.8662,23.7834,24.1234
P46680,23.3262,23.2863,23.2048,23.6684,23.6646,23.4573
Q08972,24.6684,24.4723,24.4854,24.3226,24.5157,24.6835
P00044,23.762,23.1529,23.7783,24.1415,23.088,24.4329
P22203,25.8434,25.692,25.8794,26.057,26.2161,26.1101
P04911;P04912,27.1802,27.2366,27.137,26.9926,27.2644,27.1951
P13298,25.7468,25.6197,25.7545,25.5759,25.7861,25.6592
P52490,23.7841,23.8964,23.7197,23.7902,23.8531,23.6609
P00331,25.378,25.3124,25.3579,25.5915,25.7645,25.6527
P48836,21.8143,21.4271,21.8201,21.944,22.1825,21.8952
A6ZPE5;Q12499,25.0655,25.1766,25.2338,25.4488,25.55,25.4373
Q12250,23.3745,23.5359,23.3844,23.2681,23.3961,23.5371
P39708,23.1049,23.1321,23.2146,23.0063,23.1817,23.1706
P38115,26.0895,26.1391,26.0819,26.2989,26.4703,26.4986
P0CX14;P0CX15;P53819;P0CX20;P0CX21;P0CX22;P40434;P40889;P40105;O13559;Q03099;Q07888;Q99208;Q3E7X8;Q08995;Q3E7Y5;P38899;P43538;P38721,25.4302,25.4983,25.4109,25.735,25.8736,25.6874
P30657,22.3139,22.1103,21.9856,22.0116,22.0965,22.2107
P53691,25.9273,26.1288,26.0284,25.9911,26.0002,26.0055
A6ZLF4;P38314,21.0086,21.8907,21.8201,22.026,21.5209,21.0865
P38708,26.558,26.4505,26.5257,26.8716,26.7613,26.8522
P25087,24.8863,24.849,24.9458,25.1271,25.2407,25.2637
Q04371,22.7612,22.6023,22.4549,22.0116,22.9332,22.7916
P49435,24.7777,24.7326,24.6891,24.961,25.1489,25.0346
P28240,27.5163,27.464,27.6663,27.418,27.6153,27.5358
P49089,26.7525,26.7314,26.7595,26.5232,26.7748,26.8737
P14020,24.8492,24.6695,24.6072,25.0668,24.9486,25.0464
P43123,21.9127,21.9416,22.4707,22.0116,21.7282,22.5154
P33201,22.3211,22.5378,22.6201,22.7949,22.7703,22.8469
P0C2H8;P0C2H9,26.9063,27.0929,27.1984,27.1363,26.9803,27.015
P10591,28.6263,28.5629,28.5562,28.8631,28.9028,28.9104
P11632,24.4185,24.2784,24.3347,24.6734,24.6902,24.5985
P15891,27.0393,26.9976,27.0302,27.3327,27.3278,27.3327
P32598,24.5789,24.6705,24.5352,24.8828,24.9864,24.8355
A6ZWL1;Q02642,25.5248,25.1263,25.615,25.6489,25.8412,25.6899
Q03655,21.9032,21.9422,21.8781,22.0116,21.8757,21.789
P23724,22.7655,22.367,22.6582,22.8636,22.4206,22.4607
P54115,28.3977,28.3135,28.4411,28.3361,28.3582,28.4128
P0CX45;P0CX46,28.1941,28.0935,28.1408,28.3164,28.5621,28.4594
P07267,27.9531,27.9781,27.9759,28.2208,28.3147,28.2795
Q08971,23.6092,23.6402,23.6319,23.5998,23.5252,23.7142
P40303,24.9783,24.944,25.0035,25.196,25.3426,25.2925
P26637,27.2952,27.3032,27.2747,27.5678,27.5931,27.6169
P21801,22.8266,22.5494,22.7717,22.8493,22.5825,23.6202
A7A0V3;B3LT19;P46654;A6ZUM5;B3LI22;P32905,28.4486,28.4351,28.4755,28.6766,28.7876,28.7981
P38249,25.7813,25.7035,25.7935,25.9879,26.0952,26.0979
A6ZR27;P40047,22.3436,22.6819,22.5615,22.0116,21.964,23.574
P38074,23.8541,23.0839,23.6,23.7181,23.9445,23.7765
P26570;P33329,24.8418,24.9058,24.8891,24.8278,24.8194,24.955
P15019,28.0742,28.0801,28.169,28.0147,28.1309,28.1479
Q12443,24.2541,24.1494,24.0619,24.2691,24.607,24.4833
P40483,20.9513,21.8931,21.9287,21.4612,21.6559,21.6277
P09436,27.5234,27.4324,27.4588,27.7749,27.7579,27.775
P40069,26.4345,26.4183,26.3761,26.6024,26.7339,26.7858
P00890,28.9365,28.8904,28.9106,29.179,29.2384,29.2124
A6ZP47;P06634,23.7592,23.546,23.7539,23.8812,24.0664,24.0028
P0CX23;P0CX24,27.8531,27.891,27.9127,27.8531,27.8788,27.9001
P10963,27.8768,27.6954,27.7304,28.0002,28.0853,28.1045
P0C0X0;Q3E7X9,26.3182,26.3542,26.3362,26.615,26.6488,26.6316
A6ZRK4;B3LP78;B5VQH0;C7GPC1;C8ZFZ7;Q01532,24.3697,24.4603,24.472,24.681,24.6384,24.8661
P0CX39;P0CX40,27.7856,27.7297,27.7471,27.7182,27.8009,27.7283
Q12314,24.1165,24.027,23.9784,24.2243,24.4634,24.3144
A6ZT71;B3LSS7;B5VK90;P38858,24.6959,24.5184,24.4295,24.7762,24.8897,24.8576
B3LGE9;C7GIN5;C8Z543;P08566;A6ZY89,24.0208,24.1052,24.2066,24.2964,24.4062,24.5091
Q03940,23.5629,23.7066,23.5925,23.8286,23.9326,23.9778
P15624,26.4487,26.4355,26.4098,26.6417,26.7304,26.7987
P40016,23.1027,23.229,22.981,23.4629,23.2627,23.463
P32775,24.6491,24.5945,24.6458,24.5355,25.1735,25.0561
Q12122;P48570,25.5319,25.5799,25.5161,25.8643,25.8174,25.8216
P32860,20.2449,20.9439,20.9411,22.0116,20.0713,20.0379
P32340,23.5665,23.5717,23.6961,23.9882,23.8846,23.8342
P13517,23.1175,22.9479,23.0796,22.9098,23.0404,23.1876
P40037,25.0726,24.9992,24.9181,25.1693,25.3117,25.3803
P25343,22.1822,21.8039,21.8587,22.0116,22.3148,22.3897
P15303,23.5835,23.5803,23.4347,23.5842,23.4029,23.6063
Q07505,24.59,24.9016,24.7935,24.9774,25.0198,25.158
P38972,25.0223,24.6979,24.7526,25.1103,25.1194,25.1119
Q04214;Q12490;Q03964;Q04215;Q12266,21.8488,21.8907,21.8201,21.9719,21.8027,21.7834
Q06408,24.6608,24.425,24.4048,24.3487,24.6449,24.4958
C7GP20;P35732,21.7118,21.8446,21.9183,22.0116,22.0778,22.2505
P13188,24.2886,24.4378,24.194,24.2078,24.4229,24.2905
P32911,25.5623,25.5158,25.6969,25.763,25.9819,25.8946
P38988,20.9307,21.2838,21.1335,22.0116,21.0014,21.1993
Q12306,24.9078,24.8081,24.7689,24.9849,25.2325,25.1316
P07280;P07281,27.8469,27.8673,27.9414,27.834,27.9021,27.921
P38250,20.932,21.0331,20.8176,22.0116,20.7438,20.8877
P20081,27.6965,27.7297,27.5853,27.9009,27.9532,28.0141
P26786,27.9744,27.9488,27.9576,28.144,28.3106,28.2817
P17255,28.5473,28.6549,28.5406,28.5508,28.5933,28.6097
P53221,24.2069,24.2093,24.3167,24.4942,24.5439,24.5487
P14306,24.3855,24.2353,24.2646,24.5285,24.5749,24.6358
Q03690,25.8259,25.9039,25.7812,26.0137,26.2034,26.1476
P25623,22.5084,22.4448,22.3102,22.0116,22.6214,22.6445
P53834,23.5709,23.5247,23.2911,23.5427,23.8804,23.8144
P38281,23.3562,23.1904,23.3381,23.5498,23.8514,23.3337
P11412,26.0849,26.0393,25.9449,26.0522,26.0086,26.0239
P38764,25.2186,25.189,25.1709,25.4778,25.4095,25.5408
P39954,28.9704,28.9472,29.0843,28.9377,28.9988,29.0817
A6ZT54;B3LSR0;C7GJZ2;C8Z9U3;E7KDM2;E7KPJ0;E7LVH4;E7Q4T7;P38845;E7NIP0,22.9337,23.0971,23.0104,23.3756,23.259,23.2538
P23776,21.6015,21.4677,21.5072,21.8042,21.895,21.7238
P34167,25.4382,25.515,25.3839,25.4511,25.501,25.4045
P28274,22.0504,22.1335,21.6885,21.8465,21.7197,22.3258
P24280,25.1658,25.3437,25.1896,25.0477,25.4359,25.2386
P30624,25.6286,25.7302,25.8412,25.9861,26.071,25.9842
Q04178,22.6265,22.7522,22.468,22.9031,22.8985,22.8843
P38911,23.4161,23.5316,23.3932,23.7488,23.6645,23.7658
P40580,21.9426,22.0428,22.3518,22.0116,22.129,22.2238
P13663,27.5587,27.5619,27.4455,27.4891,27.594,27.5121
P21306,23.3872,23.3396,23.4507,23.3539,23.4219,23.4324
Q01855,27.5514,27.5632,27.5182,27.5207,27.5187,27.6244
P02406,27.397,27.4127,27.3512,27.3249,27.4708,27.3975
P40029,22.3768,22.4121,22.4228,22.1274,22.4602,22.6569
Q08977,25.4827,25.4271,25.5185,25.7437,25.705,25.8117
P19146,23.0412,22.7224,23.2774,23.1985,23.2595,23.4133
P38011,29.1682,29.1949,29.2124,29.4145,29.4764,29.5107
P25373,25.795,25.6396,25.7713,25.9232,26.0307,26.0768
P53598,25.3645,25.32,25.1428,25.4868,25.5432,25.6198
P38817,21.9529,21.9118,22.1524,22.0116,21.9932,22.0601
P05750,28.8989,28.8997,28.8797,28.8225,28.9422,28.963
P00447,27.2845,27.1568,27.2637,27.4707,27.5253,27.5247
P19262,25.0301,25.0929,25.0128,25.3301,25.3028,25.3173
P41920,22.7273,22.9038,24.0691,23.5892,23.3138,23.6086
P05740,24.8853,24.9874,24.8834,24.2061,25.3237,25.2831
P36047,24.4076,24.2845,24.4687,24.5121,24.7208,24.7358
P05453,22.809,22.727,22.8597,22.6604,22.8597,22.9362
P00817,28.5559,28.556,28.5542,28.7588,28.8566,28.8539
P00359,30.59,30.6859,30.7642,30.5537,30.7947,30.7607
P32897,21.1953,21.1649,21.2635,22.0116,21.1815,21.2251
P34216,25.349,25.333,25.2818,25.5406,25.6436,25.573
P47771;P54114,25.4334,25.6127,25.6033,25.7408,25.917,25.783
A6ZRX0;P24783,21.1146,21.3631,21.1164,21.4145,21.1099,21.1469
P53250,21.747,21.635,21.7435,22.0116,22.0205,21.8784
P07263,24.695,24.6536,24.7138,24.5068,24.8564,24.781
Q04304,22.1485,21.3299,21.641,22.0116,21.6596,21.5304
P32288,27.2548,27.3116,27.2947,27.4807,27.5622,27.601
P46990,22.4193,22.3035,22.628,22.3193,22.5331,22.5838
Q04013,22.1684,22.3125,22.2556,22.0605,22.2798,22.4822
P41939,25.8031,25.7933,25.7384,25.9397,26.0378,26.1325
P0C0W9;Q3E757,27.0803,27.1953,27.0509,27.1296,27.1671,27.1211
P48589,27.6992,27.8001,27.8255,27.7813,27.7468,27.8894
P22146,23.9055,23.9203,24.1816,24.1385,24.405,24.2356
P19454,22.323,22.2821,22.4342,22.0502,22.5048,22.5781
P46672,26.9358,26.9822,26.9515,27.1492,27.2507,27.241
P31116,27.2122,27.2726,27.3234,27.4815,27.499,27.598
P36139,26.1196,25.9831,26.0332,26.0965,26.103,26.0324
