Sample,A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log)
P32337,22.0851,22.3502,22.2775,22.0116,22.4461,22.5639
P53252,26.8805,26.8529,26.8683,26.9476,26.9544,27.0095
P32891,21.9874,21.7513,21.9877,22.0116,22.0948,22.1746
P09232,26.2759,26.3686,26.2473,26.4843,26.4446,26.5174
P09064,23.5278,23.2691,23.6037,23.5095,23.8014,23.6439
P36008,28.1705,28.1622,28.1629,28.3416,28.3099,28.398
P04037,25.3577,25.2313,25.3106,25.2965,25.4937,25.4219
P32588,24.6604,24.6225,23.2166,24.1961,24.5946,24.2613
Q05515,23.4643,23.2584,23.3906,23.5894,23.5653,23.5109
P29311,26.3729,26.4397,26.5167,26.4997,26.685,26.6964
P07264,24.4554,24.4238,24.3218,24.4649,24.556,24.4941
Q03262,21.3253,21.2478,21.4654,22.0116,21.3182,21.2599
P37012,26.2645,26.3278,26.3255,26.4537,26.4202,26.3584
P48164,25.2202,25.2468,25.2319,25.4042,25.5094,25.3349
P17709,27.2619,27.3042,27.2662,27.2768,27.4464,27.425
P00942,30.8655,30.9026,30.9203,30.8747,31.0529,31.0767
P40850,24.4648,24.55,24.3571,24.3815,24.7464,24.5604
Q06685,19.242,19.6222,19.8046,22.0116,18.4751,18.7307
P53228,22.3164,22.2359,22.2571,22.0116,22.2136,23.1308
P40472;P53616,22.9667,23.0026,22.9348,23.0749,23.1542,22.9942
P26321,28.4947,28.422,28.3872,28.5585,28.6616,28.6289
P05748;P54780,27.5862,27.596,27.6399,27.7037,27.7794,27.6595
P40093,24.5619,24.4114,24.0508,24.2547,24.7099,24.3805
P38205,22.7627,22.9802,23.0459,23.0422,23.1078,22.9599
A6ZPB3;P12962,22.472,22.423,22.4043,22.0116,22.6979,22.9122
Q06103,22.0592,22.1894,21.7961,22.2254,22.2615,22.098
P40075,24.4078,24.3567,24.3899,24.4526,24.5099,24.5172
P15705,27.7969,27.8588,27.822,27.9027,27.9594,27.9432
