protein,kidneyTisue1,kidneyTisue2,kidneyTisue3,kidneyTisue4,kidneyTisue5,kidneyTisue6,kidneyTisue11,kidneyTisue12,kidneyTisue13,kidneyTisue14,kidneyTisue15,kidneyTisue16,kidneyTisue19,kidneyTisue20,kidneyTisue21,kidneyTisue22,kidneyTisue23,kidneyTisue24,kidneyTisue29,kidneyTisue30,kidneyTisue31,kidneyTisue32,kidneyTisue33,kidneyTisue34
P08195,0.865865379,0.746709502,0.89426352,0.644033685,1.120129404,0.47063133,1.167388523,0.47063133,0.995200608,0.47063133,0.829856613,0.587783245,1.085074841,0.715777566,0.928783153,0.678762599,0.960880911,0.47063133,1.19073084,0.47063133,1.032060587,0.47063133,0.801933518,0.616996063
P26038,0.644033685,1.167388523,1.032060587,0.829856613,0.39936486,0.960880911,0.801933518,0.616996063,0.960880911,0.88006445,0.558242735,1.120129404,0.522520214,1.19073084,0.960880911,0.587783245,0.342473616,1.085074841,0.678762599,0.486017939,0.715777566,0.746709502,0.455244722,0.88006445
P09104,0.57301299,0.960880911,0.57301299,1.120129404,0.57301299,0.928783153,0.57301299,0.865865379,0.57301299,1.167388523,0.57301299,0.829856613,0.57301299,0.995200608,0.57301299,1.085074841,0.57301299,0.89426352,0.57301299,1.032060587,0.57301299,1.19073084,0.57301299,0.801933518
P07148,1.19073084,0.746709502,0.960880911,0.540381474,0.995200608,0.540381474,1.102602122,0.540381474,0.865865379,0.540381474,0.801933518,0.540381474,1.167388523,0.715777566,0.89426352,0.540381474,1.032060587,0.540381474,1.102602122,0.540381474,0.928783153,0.540381474,0.829856613,0.540381474
Q96Q11,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151,0.77432151
O15083,0.697270083,0.697270083,0.697270083,1.120129404,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,1.167388523,0.697270083,0.697270083,0.697270083,1.085074841,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,1.19073084
Q15911,0.602389654,0.602389654,0.865865379,1.032060587,0.928783153,1.167388523,0.89426352,0.602389654,0.602389654,0.602389654,0.602389654,1.120129404,0.602389654,0.602389654,0.602389654,0.602389654,0.602389654,0.602389654,0.960880911,1.19073084,0.602389654,0.602389654,0.995200608,1.085074841
Q9BUR5,0.995200608,0.504269076,0.801933518,0.678762599,1.102602122,0.504269076,1.167388523,0.644033685,0.829856613,0.504269076,1.102602122,0.504269076,0.928783153,0.504269076,1.032060587,0.715777566,1.19073084,0.504269076,0.865865379,0.746709502,0.960880911,0.504269076,0.89426352,0.504269076
Q9UJ83,1.120129404,0.47063133,1.167388523,0.47063133,1.013630597,0.644033685,0.715777566,0.47063133,0.847860996,0.678762599,1.013630597,0.47063133,1.19073084,0.47063133,1.085074841,0.47063133,0.746709502,0.587783245,0.960880911,0.616996063,0.928783153,0.801933518,0.89426352,0.847860996
Q8WUM4,0.587783245,0.342473616,1.120129404,0.616996063,0.746709502,0.486017939,0.678762599,0.829856613,1.032060587,0.928783153,1.085074841,0.801933518,0.865865379,0.455244722,1.167388523,0.522520214,0.558242735,0.39936486,0.644033685,0.715777566,0.960880911,1.19073084,0.89426352,0.995200608
P53597,1.19073084,0.522520214,0.865865379,0.39936486,1.120129404,0.644033685,1.032060587,0.558242735,0.89426352,0.587783245,0.960880911,0.342473616,1.167388523,0.486017939,0.801933518,0.455244722,0.995200608,0.697270083,1.085074841,0.746709502,0.829856613,0.616996063,0.928783153,0.697270083
O00186,0.661398142,1.167388523,0.661398142,0.661398142,0.661398142,1.032060587,0.661398142,1.085074841,0.661398142,0.661398142,0.661398142,0.661398142,0.995200608,1.19073084,0.661398142,0.661398142,0.661398142,0.661398142,0.661398142,1.120129404,0.661398142,0.661398142,0.661398142,0.661398142
Q8N335,0.89426352,0.486017939,1.167388523,0.486017939,1.032060587,0.644033685,0.829856613,0.486017939,0.960880911,0.678762599,0.801933518,0.486017939,1.085074841,0.486017939,1.19073084,0.486017939,1.120129404,0.715777566,0.865865379,0.616996063,0.928783153,0.746709502,0.995200608,0.486017939
P08621,0.587783245,0.715777566,0.558242735,1.167388523,0.522520214,0.801933518,0.630514874,0.944832032,0.746709502,0.39936486,0.39936486,1.032060587,0.486017939,0.944832032,0.630514874,1.19073084,0.39936486,0.865865379,1.120129404,0.995200608,0.678762599,0.829856613,0.89426352,1.085074841
Q969V6,0.57301299,1.120129404,0.829856613,0.57301299,0.960880911,0.995200608,0.57301299,1.19073084,0.911523337,0.911523337,1.085074841,0.801933518,0.865865379,1.167388523,0.57301299,0.57301299,0.57301299,1.032060587,0.57301299,0.57301299,0.57301299,0.57301299,0.57301299,0.57301299
