Celline, MCF7, T47D, ZR751, AU565, BT474, SkBr3, BT20, HCC1143, HCC1806, HCC1937, HCC70, MB468, BT549, HCC1395, Hs578t, MB157, MB231, MB436
Q09666,0.054252786,1.046012546,0.050212084,-0.09546436,-0.164522576,0.233302956,-0.35031378,0.074890607,-0.231559133,-0.113197863,-0.445573299,-0.28427515,-0.604311323,-0.050212084,0.617745986,0.306690347,1.095525051,0.498698715
Q15149,-0.393971729,-0.417598423,0.154993969,-0.679799711,-0.768731806,-0.457772547,0.137164861,-0.045297634,0.417010663,0.801452388,-0.054878856,-0.813531606,-0.038877382,1.329412817,0.226342763,0.047871091,0.513301342,0.038877382
Q15149-3,0.728364507,0.388788516,0.371643901,-0.321185084,-0.776286715,-0.55711576,0.012661942,-0.210345509,0.531118385,0.564180703,-0.016585671,-0.430212506,-0.038111227,1.497645496,-0.012661942,-0.077157678,0.267525672,0.066026857
Q15149-4,-0.970728409,-0.822118544,-0.303867725,-0.847341526,-0.887154861,-0.885831984,0.375150502,0.15304715,0.562919139,0.645679742,0.018007358,-0.798330332,-0.018007358,1.555791092,0.380324045,0.047048386,0.957014055,-0.368742538
Q15149-8,1.427666918,1.477499674,1.186766667,0.123335758,0.452309186,-0.013867828,-0.266895594,-1.074973245,-0.9996877,0.765462558,-0.090425165,-0.334920988,0.996603898,-0.755604633,-0.974335553,-1.000760839,0.013867828,0.532359513
Q15149-6,-0.559071235,NA,0.339097792,NA,0.135064936,NA,NA,-0.027605692,NA,NA,-0.08905423,0,-0.001896323,1.186642812,NA,NA,0.263756159,NA
Q15149-5,NA,0.182156839,0.600816235,0.190646079,NA,NA,NA,NA,-0.528078559,-0.1862363,-0.400285119,NA,NA,1.901418096,0,NA,NA,-0.277537589
Q14204,-0.156985887,-0.030300849,-0.059038831,-0.309632098,-0.116152382,-0.360069286,0.221961561,0.050225546,-0.088631812,0.234313219,0.030300849,-0.149029141,0.332025088,0.091447794,0.265256254,0.632810844,0.322331699,-0.249248824
H0YDN1,-0.207736712,-0.588462275,0.214623406,-0.943777641,-1.697420657,-1.330317929,0.575740595,-0.186998233,-1.203752874,2.110476684,0.186998233,-2.060640845,-0.884950424,2.190597301,1.692284501,1.151276105,1.536068598,1.153208398
P78527,-0.218565747,0.171621402,-0.060675861,0.022503707,-0.000836911,0.194238026,-0.040003113,0.244268748,-0.264206871,0.178405352,0.072980701,-0.389694738,0.301555943,-0.407086416,0.09293549,-0.084721861,-0.373747444,0.000836911
P35579,-0.83992719,-0.271959094,-0.01853492,-0.200971773,-0.066922935,-0.01402347,0.747636707,1.072794115,-0.134041874,0.01402347,0.643251102,0.177335417,0.85903277,1.002215675,2.071462065,-1.516284075,0.783724009,-0.176378109
A0A0D9SGF6,-0.202777059,-0.121463091,-0.121478536,-0.046600142,-0.351109215,-0.303600558,-0.031043701,0.262534351,0.267615403,0.031043701,0.379004771,0.1703677,-0.512799309,-0.522240524,0.448748175,0.709786345,0.964784516,0.197237061
P21333,0.173580172,NA,-0.592392706,NA,-0.132735367,NA,NA,0,NA,NA,-0.203034416,0.042196564,0.476695351,0.369871183,NA,NA,-0.011574693,NA
P21333-2,0.01435083,-0.907106202,-0.735562562,-1.527250015,-0.567545339,-1.228249021,0.60454194,-0.166078205,-1.016031676,-0.717592823,-0.01435083,0.591286738,1.056746445,0.722027339,1.052469532,0.537586495,0.292604199,0.993253736
Q13813-3,-0.507959899,-0.211343294,-0.368168264,-0.138097682,-0.513986504,-0.265430898,-0.020091197,0.181488397,0.092121061,0.020091197,0.350372194,0.022231119,-0.532343716,-0.758736669,0.486817402,0.705035098,0.910714366,0.180986192
Q9UPN3,-0.15639941,-0.740339028,-0.696869644,-0.518643386,0.066473044,-0.70900404,-0.109316637,0.280800975,-0.143833576,-0.26982918,0.54497892,0.208421162,-0.027148767,0.110949152,0.644842686,0.027148767,1.039540242,0.999986303
P49327,0.620273607,0.69979048,1.508303655,1.844461936,1.228607341,2.837045072,-0.028829609,0.185302049,-0.111764292,-0.120873767,-0.256532795,0.817342291,-0.088555339,0.028829609,-0.366894102,-0.298244221,-0.050296585,-0.601239943
O75369,1.133515106,-0.598202766,1.29841188,0.006061424,-0.237456867,0.76712215,0.803642703,-1.287130371,-2.531217117,1.446984558,-0.01447075,-0.278356243,-0.006061424,1.503881688,-1.067406952,-1.337804436,1.74009211,1.14368787
O75369-8,0.527266815,-0.028286089,0.847422933,-0.308092893,-0.374313705,0.300497401,0.42160415,-0.12382381,0.028286089,0.504966621,-0.265022004,-0.414364717,-0.274964669,0.765381261,-0.387676852,-0.533144447,1.554315855,0.515754422
Q5T4S7,-0.117165545,-0.229749662,-0.095144302,-0.039214314,-0.187624277,-0.141487099,0.039214314,0.135919316,0.451129798,0.129493664,0.165501175,-0.063285214,-0.268213738,0.3879241,-0.091693721,0.465745231,0.147675395,0.328797454
Q9Y490,-0.36276153,-0.417667498,-0.525181301,-0.451045877,-0.665319125,-0.289635319,-0.091784246,0.091784246,-0.265608377,-0.374402125,0.838914704,1.430490097,0.974201128,0.609212637,1.231115837,1.200458337,1.130206,0.76745327
Q7Z6Z7,0.00035026,0.1335456,-0.043618035,-0.494044138,0.266881412,-0.115336718,0.028208821,-0.00035026,0.247523243,0.029510746,-0.955893204,0.198830952,-0.065799739,-1.056866767,-0.516877375,0.090872856,0.350747912,-0.231285096
P15924,0.684521671,0.222616678,-0.605860398,-0.096515425,0.362251345,0.164615013,-0.887725918,0.761988096,1.000970763,0.096515425,1.255276149,1.134381628,-1.692051011,-1.798592757,-1.274049936,-1.589176293,-0.631902814,-1.82459572
Q7Z6Z7-2,0.363277962,0.649576797,0.194505984,-0.070919306,0.502524103,-0.07054594,0.149274085,-0.516164798,0.037884043,0.210292981,-0.626129072,0.142874437,-0.037884043,-0.386775205,-0.341001864,-0.180389176,0.470164589,-0.095125787
P58107,1.067123486,0.337355187,1.027695189,1.248939402,-0.383855138,1.929176006,1.554108523,0.592520867,0.813601393,0.025309278,-0.148623343,-0.025309278,-0.990715662,-1.093256628,-0.823544299,-0.685559126,-0.984286287,-0.848372894
Q01082,-0.303077392,-0.496650491,-0.435453854,-0.186740946,-0.445018916,-0.489822643,-0.035228954,0.372853398,0.326609222,0.035228954,0.39327071,0.110875088,-0.3525742,-0.307661514,0.658103064,0.888566364,1.14697426,0.36109725
Q92616,0.358773512,0.289139791,0.270310021,-0.090456392,0.431145617,-0.399066215,0.207658227,-0.027181681,0.383774436,-0.268832497,-0.04143755,-0.183234549,-0.567541283,-0.548436891,-0.362131532,0.027181681,0.158163121,0.209692863
Q8WXH0-2,0.276892422,0.590176589,-0.03162448,-0.0954626,0.399293635,-0.229548114,0.140963153,0.637104706,-0.332657408,0.03162448,1.020976509,0.340465859,0.43921739,-0.508442311,-0.3550009,-0.284443686,-0.069687888,-0.700114024
Q00610,0.651410218,0.34221622,0.469520902,-0.204558731,0.822655488,-0.345446342,0.008960201,-0.085242905,-0.008960201,0.221241978,-0.102093349,-0.265019598,-0.610956819,-0.047458244,0.11668113,0.586979373,0.456610367,-0.765729247
Q9UPN3-5,-0.189525171,-0.491693498,-0.704671215,-0.454182616,0.037462785,-0.630930899,-0.089434192,0.320215753,-0.044827804,-0.079479989,0.485892549,0.247899011,-0.037462785,0.066811442,0.602327675,0.089723173,0.970355978,0.900672261
Q01082-3,-0.220730053,-0.260871616,-0.518314182,-0.003392917,-0.581058956,-0.297715781,-0.036194385,0.13233618,0.474576278,0.020111702,0.205573184,0.003392917,-0.663614937,-0.201029828,1.61688722,0.718915029,0.91645869,0.011465942
A0A0A0MTC1,-0.330880457,NA,0.104587758,NA,0,NA,NA,0.762192118,NA,NA,0.694197597,0.578441921,-0.42503238,-0.166949765,NA,NA,-0.281406043,NA
A0A0A0MTR7,-0.146646909,-0.13063771,0.773279656,0.454546977,0.077996756,1.276995513,0.011041362,1.123630237,-0.582163272,-0.32407297,0.795363447,-0.021734054,-0.602640136,0.455773996,-0.779607482,0.400687277,-0.011041362,-0.37187631
P46940,-0.04849237,-0.36017644,0.049302363,-0.614586196,-0.729049919,-0.457074789,0.67914925,0.445986886,-0.682056403,0.000879147,0.441021632,-0.329032541,0.231969216,0.34440431,-0.000879147,-0.238228379,0.104577212,0.210693962
O75643,0.361189965,-0.12788164,-0.085142024,0.128637584,0.080981066,0.029190734,-0.029190734,0.068820575,-0.101609147,-0.048436074,-0.126674613,0.191892059,-0.179938298,0.079676377,-0.345772108,0.256725315,-0.106435931,0.724675937
Q14789-2,-0.005190186,0.254909557,0.45460629,0.240129562,0.326102035,-0.021466262,-0.011167638,-0.099820567,0.072761915,0.005190186,0.261749081,-0.015045595,-0.13631847,-0.423242694,0.216368444,-0.186568031,-0.290476236,0.067652352
P35580,0.067418959,-0.086799421,-0.566078653,-0.593447086,-0.574994019,-1.015862638,0.728834146,-1.412800788,0.35046129,0.145476892,-1.619345005,-0.067418959,0.904687881,-1.116834756,1.26635465,1.529246547,0.189876763,0.794999796
Q14789-3,0.214385622,NA,0.033644334,NA,0.008380477,NA,NA,0,NA,NA,-0.060505522,-0.326874423,0.120092503,-0.175398534,NA,NA,-0.469129737,NA
Q8IVF2,-0.882796639,0.025817521,-0.616387824,-0.988034723,-0.990997986,-1.116679267,-1.010680825,2.352396778,0.652940216,-0.35550978,0.628011399,-0.297974399,1.567260616,0.838280905,-0.025817521,0.423907196,0.572350403,1.744542453
Q14980,0.745943536,0.572762535,0.552010395,0.566869041,-0.297072454,0.363155077,-0.204016874,-0.202513674,0.172445201,-0.10981398,0.12040896,0.498232984,-0.430073869,-0.049620077,-0.120220755,-0.138551789,0.049620077,-0.371714549
Q03001,-0.043324424,0.150832007,-0.267518739,-0.404678376,-0.074592158,-0.203570955,-0.041554068,-0.150371237,0.236171771,0.488838785,0.122753958,0.041554068,0.947144115,-0.070106618,1.163075424,0.440299336,1.765624554,-0.201578123
P07814,-0.443488609,0.063926508,0.271376306,0.229609614,-0.507200392,0.036375025,0.021176428,0.34465819,0.211401452,-0.063841318,-0.021176428,0.204967291,-0.392849824,-0.282371078,-0.370117408,-0.153098338,-0.459824712,0.149785622
Q9NZM1-6,-0.140697774,0.013191786,0.030559992,-1.295145195,-0.655944373,-1.359859458,-1.328875911,0.355357924,0.475588822,-0.236415102,0.76558946,-0.013191786,1.031854717,0.788679712,0.694931187,-0.338779223,0.785683385,-0.572284976
Q6P2Q9,0.157270804,-0.158418279,-0.208710557,-0.007789391,0.087380407,-0.052310278,-0.006380054,0.203954879,-0.30721842,0.03168943,-0.079970798,0.06276157,0.037577722,0.006380054,-0.243710388,0.253280581,-0.06794421,0.463736054
Q14315,-0.372582828,0.014986957,-0.172887147,-0.10277228,-0.202146724,-0.066223794,-0.014986957,-0.166225009,1.367351098,0.234011593,-0.218932149,-0.019451073,0.302122108,0.015954639,3.607466194,1.576408612,3.831054278,1.514999157
P49792,-0.162579427,-0.099020026,-0.106013868,0.263458177,0.086801479,0.170297036,0.232032024,0.059996047,0.234965607,-0.059996047,-0.149507764,0.110437783,-0.228048135,-0.559497741,-0.169325776,-0.615999212,0.061257503,0.467266023
Q7Z406-6,0.975364132,-0.935399518,1.248446523,0.107171831,-0.107171831,0.490121473,-0.963408165,0.372509393,0.667580041,1.434309167,1.202353705,0.217458483,-1.534747881,-0.425202617,-1.281709605,-0.847248807,-1.560839305,-1.295377965
P12270,0.015776633,0.157030504,-0.112922703,0.208713748,-0.203814319,0.091681518,0.157508696,-0.015548799,0.373385231,-0.094224442,-0.155617416,0.015548799,-0.053139553,0.092055455,-0.189827906,-0.0271257,0.110720328,-0.02669796
P46939,-0.257188379,0.413622716,-0.567778574,-0.627916201,-0.609815309,-0.930051044,0.014899573,-0.037621554,-0.791044921,0.044085017,-0.014899573,-0.761203544,0.815551464,0.487557308,0.637456912,0.554476428,0.504150526,0.277360694
Q14008,-0.230757647,0.329676062,-0.199026375,-0.197302261,0.060992055,-0.053444175,-0.439257187,0.331463114,0.041053122,-0.326121703,-0.309083063,0.140963747,0.206642771,-0.041053122,-0.073312412,0.290008865,0.451344798,0.750101329
P27708,0.091643613,-0.25435841,-0.43269881,-0.091643613,0.276344473,-0.1774578,0.133267025,0.20185174,1.169907322,-0.136112516,-0.2156549,0.216589027,-0.282533798,-0.132482333,0.254918205,0.36722221,0.563871372,-0.106864616
E7EVA0,0.077790524,-0.514494877,-0.161976583,-0.364454059,-0.260433955,-0.305690994,-0.190148977,-0.013926305,-0.361629651,0.029285493,0.106255437,-0.282877767,0.864253813,1.370409235,1.418527657,0.013926305,0.850910396,0.237509678
P46821,-0.318243383,-0.325035125,-0.275288287,-0.364977332,-0.424714785,-0.5188563,-0.048206929,1.515853157,-0.16584081,0.048206929,0.94106469,-0.443373953,2.43065363,2.923225353,3.388334463,2.755150868,2.509981381,1.859825673
P42704,-0.037201382,0.600150622,0.462990591,-0.058322552,1.251874427,0.097481771,-0.077821332,0.039294306,-0.081391439,-0.311353331,0.037201382,0.884359809,-0.110216785,-0.432089641,-0.223954303,-0.157450573,0.199971598,0.407862065
Q709C8,-0.072911731,0.432401255,0.352840927,0.072911731,0.279081594,-0.227176763,0.680314478,0.245196578,-0.606202115,-0.17781478,0.198810756,-0.503836344,-0.120602116,0.445647923,-0.095575019,-0.422879124,-0.641792721,0.078161105
Q93008,-0.171209297,0.162794577,0.098816068,-0.128250306,0.115979667,-0.099413683,-0.053423171,-0.572579304,-0.350955889,0.164695564,-0.617567363,0.053423171,0.176244098,-0.199967184,-0.141125437,1.013113345,0.564945506,0.4849788
Q86UP2,-0.565811776,0.227242164,0.636082148,0.207970241,-0.537831034,-0.347633784,-0.512357491,0.344542968,0.00225626,-0.54286065,0.180484741,-0.00225626,0.045817315,1.580732637,-0.821010705,-0.463442691,0.016667257,-0.801042014
Q13085,-0.093620007,0.958029337,0.37850086,0.062721639,2.053731189,-0.105149625,-0.336342287,-0.316250404,0.252558127,0.661594194,0.067777711,-0.297623739,0.72000938,-0.414730525,-0.062721639,-0.341985569,0.30567255,-0.138752964
P55072,-0.034719915,-0.345248484,0.127269594,-0.254933664,1.549740665,-0.303128418,-0.293031846,-0.190848223,0.163670814,-0.040357418,0.441811078,1.066492019,0.524065126,-0.407809603,-0.430652931,0.034719915,0.103987165,0.177845676
O43707,-0.324918419,-1.006055467,-0.314539011,-0.846306159,-0.673913811,-0.543702432,0.560996831,0.001514655,-0.306791058,0.068482382,0.172041672,0.00963285,-0.001514655,0.182448703,0.716750787,0.261420174,0.56183342,-0.774846111
O15020,0.257582638,0.964346448,0.801023022,0.748652129,0.047234398,0.571917362,-0.010341056,-0.719742575,-0.516350725,0.010341056,0.199664236,0.489854441,-1.395555644,-1.243570488,-1.361845946,-1.135458242,-1.068766304,-0.765147241
P13639,-0.066894589,0.027705406,-0.254183589,-0.229424354,-0.176880143,0.217766595,0.510040276,0.27781476,0.334298262,-0.150198134,-0.465500503,-0.020973896,0.484210098,0.020973896,0.438110377,-0.312457403,-0.044266737,0.076926409
P53621,-0.010969453,0.272450441,0.408269025,0.312500315,-0.001057169,0.264840305,-0.046516807,-0.293366021,0.158769106,-0.023853525,0.049994749,-0.067438624,-0.026593311,-0.13396182,0.138358928,0.088871143,0.001057169,-0.007157626
P22314,0.194263347,0.376268931,0.080554601,-0.008934764,0.16612287,0.008934764,-0.342929458,-0.229225281,-0.359408089,0.133336275,-0.535781592,-0.205012994,-0.251616458,-0.345760439,-0.458905749,0.764883321,0.047194848,0.118366476
P12111,-1.181452407,0.703135208,-0.13797091,0.705958622,-1.280092166,0.037714272,-0.037714272,-1.158939223,0.663350262,0.540948111,-0.216271389,-1.360506442,-0.212065165,0.249913993,4.787125116,0.438653481,-1.198197842,0.572952422
A0A2R8Y212,0.166025482,-0.199694017,-0.032640816,0.171370997,0.247993011,0.357749527,-0.346985402,0.138343314,-0.002832845,-0.312168824,0.059748957,0.002832845,-0.410742746,0.016446894,-0.36647837,-0.006429213,-0.352739144,0.101687535
Q99715,-0.23757345,0.161875175,-0.462297287,-0.35957421,0.672073223,0.022353932,0.335937684,0.793892882,-0.248330588,-0.118174565,-0.435072639,-0.468789968,2.119693243,2.324334403,0.866200532,3.511596364,-0.022353932,-0.437720254
P12814,-0.003126203,-0.516640258,-0.513471764,-0.667397771,-0.262923262,-0.630757721,0.475563738,0.544142978,-0.769718732,0.176611145,0.331017832,0.002969335,0.416471194,0.489404329,-0.002969335,0.037230485,0.373407944,-0.582069949
P12814-3,-0.287666102,-0.603750065,-0.793375113,-0.868726108,-0.603437061,-1.095678527,0.431934032,0.434502948,-0.347694612,0.162552026,0.205377676,-0.162552026,0.346737775,0.705810608,1.146098816,0.500656456,0.500011953,-0.472220173
P07900-2,0.221745706,0.468700607,0.472290106,0.217031753,0.439143933,-0.014365644,-0.518049503,0.014365644,-0.148588157,0.468200361,0.065085068,-0.53318378,0.430124865,-0.10133165,-0.448434822,-0.048925744,-0.070225256,-0.351728635
P42345,-0.171787234,0.095954447,0.184454238,-0.038450516,-0.038958143,0.010516894,-0.010516894,0.091480199,0.100456477,0.057946385,0.070261352,-0.166490729,-0.02601809,0.154205202,-0.080723163,0.646507133,-0.097381826,-0.253190671
P02751,-0.465467542,0.034700571,-0.263693344,0.208028868,-0.678453085,0.006717655,-0.115711525,-0.580964855,0.061867176,-0.006717655,-0.09552379,-0.433717481,0.399061519,0.478517182,2.692112006,1.418424307,-0.194901544,0.4743343
P05787-2,2.836212384,1.496242249,1.990619956,1.031828238,0.55381297,1.540741044,0.774405549,-0.494044688,-0.254698827,0.254698827,-0.419702036,0.425569962,-1.198813013,-1.301564858,-1.227958854,-0.74383263,-0.452778506,-1.4954097
Q9NU22,-0.071433668,-0.175033099,-0.405008054,0.296301631,0.179988417,0.101495918,-0.128399365,0.217359183,0.181745849,-0.071647522,-0.344803778,0.104072846,0.011448205,0.100837866,-0.160651347,-0.011448205,-0.133902761,0.577141517
P02751-15,-0.644203419,0.254530054,-0.274016035,0.360686583,-1.416956455,-0.299996281,-0.481979854,-1.102948582,0.231767208,0.155456561,-0.183646608,-0.937486278,1.022925959,1.248124148,4.655516506,2.477991579,-0.155456561,0.553444217
Q9P2E9,-0.313210754,-0.53794143,-0.139383991,0.397786707,-0.661963901,0.655493147,-0.590781566,0.702325188,-0.261257773,-0.244352844,0.139383991,-0.208269989,0.759709412,0.704237226,0.506017654,0.863978925,0.477190934,-0.72255145
Q08211,0.052474827,0.003790552,0.00866694,0.010939339,0.097969402,-0.066635793,-0.015785599,-0.166890095,-0.003790552,-0.104973876,0.099146819,0.144140248,-0.273950293,-0.165474167,-0.471119404,0.043571757,-0.146749552,0.096088944
Q04637-8,-0.208242248,0.13893868,-0.484960036,0.04045866,0.114549184,0.310055695,0.195608836,-0.082587374,-0.04045866,0.318640659,0.195172084,-0.278295865,-0.25249178,-0.097388008,0.129328462,-0.456527392,0.114219048,-0.302193808
Q9NR09,0.152014528,-0.123448342,0.067046059,0.668930982,-0.227416705,0.284031822,0.464530899,-0.084542355,0.096545226,-0.031032896,-0.162714334,0.478064369,-0.148750244,-0.240728052,0.031032896,0.213950591,-0.066837022,-0.275332885
P18206,-1.065310387,-0.562923495,-0.717447533,0.082045835,-0.935776285,0.293105377,0.352917622,-0.146686774,-0.574765012,-0.569838344,-0.365128593,0.25846962,0.537371889,0.290832434,0.834814222,0.54113996,0.44515735,-0.082045835
Q04637,-0.348330214,0.189052161,-0.454526013,0.040174547,-0.040174547,0.224534756,0.076687627,-0.248320795,0.128313823,0.290657358,0.120384929,-0.44128728,-0.444200417,-0.074092294,0.105510986,-0.691570612,0.115436924,-0.385956409
A0A494C1L5,0.39790348,0.756484006,1.103335218,0.735840895,0.898499901,0.645807283,1.698342554,-0.102198239,0.261334829,-0.089120517,-0.152796272,0.08499006,-0.684819791,-0.441013925,-0.887061172,-0.609363729,-0.08499006,-0.463259547
P27816,-0.038329742,-0.225910919,-0.023547061,-0.189021872,-0.389359225,-0.688576486,-0.203658435,0.023547061,-0.170856141,0.517189967,0.261210578,-0.45172088,1.113214263,1.56347871,1.870938068,0.128647621,1.137995151,0.608301195
P08238,0.121167258,0.208202232,-0.257050777,0.037273561,0.274374219,-0.075983538,-0.24585451,0.214408078,-0.254169544,0.209180034,-0.121710346,-0.024317206,0.027056028,0.024317206,-0.083149185,-0.286737603,0.263079499,-0.082051333
P13010,0.262532476,0.164886984,-0.002968035,-0.023966581,0.342070526,-0.110963895,0.112476452,0.25935447,0.33653575,-0.351073395,0.002968035,0.177220436,-0.076632214,-0.028310978,-0.118308649,0.257243757,-0.041504409,-0.102052215
J3KN16,0.084029895,0.08909904,-0.122207886,0.028620996,-0.070291718,-0.028620996,0.045974729,-0.287034421,-0.128416287,0.174602919,-0.085526213,-0.180475154,0.10265057,-0.423786036,-0.265081729,1.210543119,0.549368832,0.611847437
F2Z2U4,0.271245888,-0.100845412,0.003890579,0.011869493,0.397020815,0.210290908,-0.044761042,-0.149675439,-0.074904783,-0.149918493,0.055495424,-0.003890579,-0.106960669,0.099416372,-0.210393525,0.038798852,-0.121257007,0.133184541
Q86VP6,0.620233877,0.2914925,0.888946529,0.193109919,0.242826775,0.147377537,0.009218313,1.620716173,-0.145877714,-0.276269909,-0.157002834,-0.009218313,-0.116910255,-1.858920168,-0.34472434,-0.095511529,-0.388696617,0.118998382
Q99996-3,0.64018763,-0.308283364,0.104290899,0.654490518,0.262802345,0.405165441,-0.299386064,-0.473065167,0.062615899,-0.349042887,0.196669426,-0.17965334,-0.373663064,0.226596493,-0.078010778,-0.253169583,-0.062615899,0.06816334
P49454,-0.865042724,0.390838841,0.238667064,-0.430927502,-0.057914945,-0.243758412,0.13519671,0.337285182,-0.460983184,0.154097568,0.067839277,-0.235353403,-0.378940932,-0.337081689,-0.258862609,0.139806767,0.097765247,0.057914945
O60610,-0.217861325,-0.174936938,-0.438676907,0.435499813,-0.189082072,0.442062331,-0.056135702,0.167507317,0.203375187,0.597633827,0.270407376,0.093701272,-0.386412467,-0.105004198,-0.546921655,-0.400947127,0.066023987,0.056135702
Q13439,0.317526279,1.103517121,0.179875162,0.337353226,-0.129399519,0.008458763,-0.106748076,0.090487215,0.663735811,-0.23193616,-0.248991362,-0.162959796,-0.362862516,-0.008458763,0.527179646,-0.540720053,0.30135603,-0.019786385
Q13439-5,NA,0.50464096,-0.143984508,0.010466999,NA,NA,NA,NA,-0.764064787,0.259333438,-0.021638479,NA,NA,0,0.108781563,NA,NA,-0.391879778
Q9C0C2,-0.718669338,0.860746678,-0.006849865,0.320742,0.419287737,0.325508412,-0.294953155,-0.052683205,0.567746035,0.006849865,0.064639811,0.528359216,-0.166503643,0.103886102,-0.143585438,-0.50905288,-0.573025349,-0.191687892
E7EX90,0.251029097,0.011415062,0.034956175,-0.46487109,-0.011415062,-0.432985499,-0.162818239,0.242000815,-0.143801847,-0.230956992,-0.36988706,-0.080763067,0.261681508,0.101583654,0.159947678,0.724102946,0.213763206,-0.074498665
A5YKK6,0.044374678,-0.017391942,0.330276632,0.010209822,0.323852344,0.00968956,0.026756294,0.025851983,-0.098719919,0.026671683,0.07997098,-0.039222608,-0.00968956,-0.18129694,-0.361587134,-0.409937695,-0.32521081,-0.052968619
O75533,0.251051465,-0.064795081,0.027318827,-0.091581357,0.192197147,-0.226783432,0.002745932,0.063176517,0.187615492,0.277463886,-0.002745932,0.144843769,-0.218656599,-0.258580403,-0.292249224,-0.023789375,-0.06169331,0.054658698
P53618,0.067533803,0.070056639,0.299044475,0.213959942,-0.129299867,0.116071865,-0.102616713,-0.449745096,0.419264252,-0.207926533,-0.209359979,-0.200278841,-0.129577197,-0.309593797,0.045348764,0.055201533,0.380945317,-0.045348764
P10809,0.006802212,-0.269470842,0.101404904,0.404661991,0.752780405,0.115963384,-0.006802212,-0.582264602,0.031635009,0.978917785,-0.554656175,0.306973749,-0.200271599,-0.523659798,-0.554407477,-0.365200938,-0.319725534,0.795551637
P34932,-0.192005421,0.128001963,0.126504035,-0.279169855,-0.033253626,-0.51629672,0.068118163,0.236381232,0.006952393,0.721838755,-0.517256217,0.216418299,0.590371271,-0.122583844,-0.180971155,-0.006952393,0.20027416,-0.113567179
P14625,-0.457266719,0.12972769,0.068898256,-0.032370903,-1.042111005,-0.248201968,-0.077026993,0.102928991,1.602613196,0.082635449,-0.543599556,-0.387495062,0.354266676,-0.007776946,0.370338818,0.201963511,0.007776946,-0.407001257
Q14152,-0.06496541,0.090631617,-0.045389761,0.022444235,-0.269026322,-0.036820456,-0.233101288,0.374331208,0.397065873,-0.11397865,-0.022444235,0.035849447,-0.142156907,-0.143772017,0.106707868,0.024985871,0.526423988,0.269003774
Q15643,0.028325918,0.418386513,0.180024746,-0.159867564,0.152239095,-0.41122099,-0.467770262,0.044778957,-0.144271833,0.213643159,0.329147292,-0.251808187,-0.058810442,0.113800348,-0.028325918,0.172938625,-0.100161022,-0.662415033
Q9Y5B9,-0.142461796,-0.491699238,-0.551906943,0.642069368,0.438517014,0.25962997,-0.504490197,0.283582237,-0.173835842,0.238059949,0.12427257,-0.348835737,0.158643828,0.550187747,-0.471906744,-0.179297389,-0.12427257,0.787918678
P09874,-0.561565826,0.01494813,0.115894331,0.398067074,0.861939109,0.355593121,-0.623788672,-0.044276757,0.141770654,0.02246927,-0.01494813,-0.251159232,-0.132235372,0.203970279,-0.958499124,-0.166994283,-0.720248383,0.225287694
Q13200,-0.113097431,0.390795947,-0.198711558,-0.195027706,-0.074046771,-0.192300729,0.085947224,0.244506411,-0.029524768,0.449516641,0.191641414,-0.115735858,-0.016259887,0.016259887,0.209707198,-0.081527871,0.448622827,0.125400953
Q9H583,-0.102390985,-0.263262099,-0.298467843,0.47788356,0.150273088,0.241554461,-0.000277219,0.260210496,0.838513617,0.036192243,-0.277746129,0.309122724,-0.151427114,-0.190962811,-0.166102568,-0.049583025,0.000277219,0.625601703
O60437,1.134664527,-0.065340127,1.336563367,0.917719001,0.065340127,-0.237946273,1.30420296,0.293665849,0.401327091,0.486651055,1.288075829,-1.144480764,-1.256064537,-1.06167144,-1.172402497,-1.171276507,-0.511949436,-1.114287276
Q9P2J5,-0.365937361,0.322279159,-0.018911488,0.138773676,-0.143458969,0.164089878,-0.427796812,-0.021714336,-0.198144271,0.46519212,-0.25767998,-0.202671191,0.450586357,0.329046794,-0.08121887,0.374203607,0.018911488,0.678795357
H0Y4W2,0.257965145,0.246241924,0.260108594,0.173857739,0.200028242,0.039796463,-0.147554316,-0.272599316,-0.087623359,0.068137535,0.039175489,-0.156751148,-0.229659772,-0.27023337,-0.32545944,0.039701745,-0.25984213,-0.039175489
Q14573,-0.081905048,-0.219546033,-0.027192863,0.089161375,-0.067123544,0.017142232,0.116974364,0.17775457,0.060528149,0.450449417,0.48484294,-0.017142232,-0.86456152,-0.112848502,-0.251953453,-0.743254033,0.768767442,0.121763072
P35221,-0.059381961,0.450609842,0.110071207,-0.995394449,0.300131073,-0.845315024,0.335693391,0.430778108,0.124374612,0.515810039,0.366742099,-2.133114553,-0.20036034,-0.047500789,0.047500789,-2.117237786,-0.762419431,-1.01675855
Q8N3C0,-0.201534575,-0.113028841,-0.021000617,0.150860822,0.232511355,-0.118965319,0.281039321,0.249505988,0.114704227,0.036974001,0.139210667,0.258631031,-0.102910795,-0.036224992,0.012108069,-0.246858267,-0.60278668,-0.012108069
Q14697,-0.173722594,0.168229147,-1.199183492,-0.210828035,-0.754877834,-0.359146935,-0.206863119,-0.146331991,-0.409070151,0.734689051,-0.230469531,0.146331991,0.313502371,0.245490385,0.444993916,0.541579509,0.146362359,0.209729389
