Celline, MCF7, T47D, ZR751, AU565, BT474, SkBr3, BT20, HCC1143, HCC1806, HCC1937, HCC70, MB468, BT549, HCC1395, Hs578t, MB157, MB231, MB436
O95707,0.185293873,-0.153805029,-0.356018064,0.023674113,-0.074428609,-0.230653935,-0.412591142,0.496772564,-0.027534614,-0.076427061,0.276016324,0.128011494,0.143616322,0.124702637,-0.132635829,-0.023674113,0.046854686,0.269695808
Q96HQ2,1.138034439,0.339805516,0.02991592,0.117608443,0.106925201,-0.335694684,-0.91923061,0.936762878,-0.02991592,-0.069213274,-0.252661192,-0.29825658,0.134928007,-0.430436289,0.14304987,0.291116064,-0.128560525,-0.399766563
A0A087WXF8,-0.231174169,-0.124996885,0.03834425,-0.201107823,0.017132493,0.020372311,-0.128065529,-0.42734094,0.077196505,-0.105155305,0.448771041,0.090575482,-0.157813114,0.433067353,0.043764489,-0.038494825,-0.017132493,0.4609226
Q9UMX1,-0.29727319,0.617092313,-0.162949184,-0.192128115,0.122407145,-0.226618637,-0.405188529,-0.122407145,-0.3839883,-0.253247021,0.132614705,-0.371566973,0.855674847,0.263483737,0.625986933,1.394925246,0.409413008,0.25036443
P02774-3,0.094010541,-0.340183463,-0.440761241,-0.761647774,-0.122034975,-0.276883957,0.031391374,-0.352922924,1.511880521,0.025735985,-0.032937237,-0.223348979,1.177406768,0.903496281,0.015260396,0.996187255,-0.015260396,0.524017341
Q9NQU5,-0.340364905,-0.235510293,-0.037151005,-0.345625383,1.511028989,0.814979501,-0.200341342,1.118056906,0.432951371,0.284110365,0.818744041,0.19343716,-0.593955661,0.037151005,-0.457233085,-0.383548567,0.141785153,-0.088117197
Q9H0U6,-0.298801083,0.086398353,0.108141301,0.408541514,0.49337347,0.492180432,0.031836923,0.199508756,-0.264127361,-0.079452326,-0.147527079,0.297042398,-0.076292563,0.193843202,-0.031836923,-0.19318732,-0.123478662,-0.108447786
Q9NWZ8,0.448262573,0.109077008,0.564666019,-0.255648684,-0.012118691,-0.338764716,0.111811821,0.083583304,-0.282408246,0.012118691,0.128627288,-0.196644546,0.610850216,-0.81262169,-0.210797598,-0.215679481,-0.170713326,0.238064712
Q9H4B0,-0.229799748,0.05060505,-0.276767702,0.343082085,-0.291575186,0.174907389,-0.288722713,-0.216428955,0.016879198,0.035028199,-0.454640548,-0.214929804,-0.402163795,0.044098361,-0.016879198,0.159393878,0.17545673,0.445628373
Q99943,-0.03703868,0.022046721,-0.368759842,-1.018307148,-0.022046721,-0.705872851,-0.082401373,0.128973703,-0.396610488,0.182362981,-0.129180623,0.222241191,0.028782611,0.442642651,0.2647758,0.521796692,0.545468087,-0.406639822
P48436,-0.523663671,0.015575807,-0.403010269,-0.945848009,0.088255001,-1.363858865,-0.010056123,1.333784824,-1.242360257,0.846734027,0.804160834,1.064020702,-0.075587629,2.210677457,-1.068230931,-0.681982151,0.694307684,0.010056123
Q96ST8,-0.003286622,-0.182126194,0.009107237,-0.238894803,0.003286622,-0.297097727,0.127526167,-0.233374448,-0.154417317,-0.092553096,0.199366389,-0.336753954,0.909944985,0.354452385,0.09451105,0.538227525,0.287074688,-0.111636142
Q6IC98,0.369234392,0.229228263,0.150375306,0.090121245,1.389882343,0.219973834,-0.762592064,-0.147617207,-0.80939451,-0.522135789,0.467749858,0.16742093,-0.111221383,0.222888793,-0.090121245,-0.472231755,-0.49375552,-0.330108226
O14681,-0.451116405,1.339175111,0.22333722,0.089907714,0.10443456,0.299039249,0.339023757,-0.472937159,0.193821598,0.141872791,-0.089907714,0.422015442,-0.275910888,-0.350351049,-0.254312723,-0.217618258,-0.118193764,-0.722172729
P13688,-0.463720342,-0.641635617,0.480432533,0.037973402,0.535597048,-0.631682592,0.28373594,3.182699573,0.344650958,2.04740212,2.2816892,1.296263869,-0.306224175,-0.037973402,-0.760932774,-0.277250571,-0.627601296,-0.07437299
A1KXE4,-0.481682169,0.170560455,-0.061521908,0.014259742,-0.14104394,-0.402422709,0.38699638,0.102262771,-0.162332457,-0.009492344,-0.015970402,0.324655192,0.009492344,-0.151947461,0.230378498,-0.046583554,0.132979748,0.397008165
Q7L9B9,-0.255230414,-0.108821218,0.173504744,-0.01791998,0.405178554,-0.527879465,-0.565671354,0.319087625,-0.186953603,-0.000544319,2.017428067,0.000544319,1.425438143,1.090564716,0.506925135,0.558629555,-0.003687963,-0.100144365
Q9H2G4,-0.060060963,-0.134718695,0.214046503,-0.110838231,0.060060963,-0.166465997,-0.451563792,0.09630201,0.282698066,0.745306109,0.343686901,-0.128883817,1.081430104,0.884449153,-0.104424926,-0.344114499,-0.137610281,1.151354907
Q92564-3,-0.255258471,0.116357981,0.016720763,-0.353857472,-0.034824539,0.215332309,-0.03455995,0.355747368,-0.169517018,-0.107255717,0.135316525,0.188647801,0.60854006,-0.016720763,-0.089085556,0.540081265,-0.278232482,0.819578862
Q03393,-0.415449557,0.06979298,-0.065113651,0.056895185,-0.26921763,-0.100028948,-0.056895185,-1.002243005,0.972853679,0.773708852,-0.679609906,0.30704111,-0.562718869,-0.7693342,0.089638537,0.222754185,0.219046332,0.270408265
Q9H7P6,0.395098493,0.530605417,0.256392223,-0.19653933,0.9608358,0.002223166,0.194655971,-0.08929719,-0.125523911,-0.139699363,-0.434564411,0.096426522,-0.536274787,-0.280017068,-0.002223166,-0.054983455,0.229886715,0.481769406
A0A075B7A3,0.830989364,0.218768627,-0.538389931,0.799765231,1.116752461,1.791454569,-0.301587968,-0.218768627,-1.254374252,-0.756742437,-0.513052442,0.357194092,-0.355029883,-0.590258301,-0.564097359,0.22719749,0.22837291,0.571399335
Q9H977,0.37398183,-0.114132976,0.638079136,-0.23158343,0.066964426,-0.066964426,-0.170496795,0.080149521,-0.088574265,-0.308045096,-0.26727466,-0.256208595,0.430245539,-0.079929122,0.102220097,0.25015796,0.62811983,0.97062856
Q9BR77,-0.622688928,0.092272442,-0.054800084,-0.127846357,-0.909586654,0.050655892,-0.394669862,-0.011480636,0.234776065,0.979784881,-0.079329911,-0.323062991,1.405519558,1.067758738,0.210242576,0.011480636,-0.099370588,1.972411361
Q01196-8,-0.080032516,0.003568541,0.265007748,-0.494944264,-0.012316892,-0.752416198,0.187222047,-0.003568541,0.247231192,-0.549099465,0.257021013,-0.005121468,0.59835925,0.590825042,0.035362302,-0.388478262,0.462210398,-0.444873403
Q9H9Z2,NA,3.802126369,0.129379776,-0.188434427,NA,-0.025256195,-0.238133846,NA,0.054680482,0.040316201,0.025256195,NA,NA,-0.203326776,-0.159332147,0.153690148,NA,-0.190616916
